GPA,Study_Hours,Preferred_Subject,Learning_Style,Career_Aspiration,Interest_Area,Interest_in_Subjects,Recommended_Course,Study_Habits
3.17,6,Math,Auditory,Artist,Finance,High,Data Science,Irregular
3.31,7,Business,Kinesthetic,Artist,Finance,Low,Finance,Needs Improvement
1.62,20,History,Visual,Doctor,Education,Medium,Medicine,Needs Improvement
2.43,26,Business,Reading/Writing,Scientist,Technology,Medium,Finance,Consistent
3.9,18,Art,Auditory,Artist,Technology,Medium,Medicine,Consistent
2.78,11,Business,Reading/Writing,Scientist,Education,Medium,Data Science,Needs Improvement
3.88,21,Business,Auditory,Engineer,Education,High,Education,Last-Minute
2.89,25,Art,Auditory,Engineer,Health,High,Finance,Irregular
3.04,20,Business,Auditory,Entrepreneur,Health,Medium,Education,Organized
2.14,36,Art,Visual,Doctor,Education,Medium,Education,Irregular
3.72,13,Art,Auditory,Artist,Arts,High,Finance,Consistent
2.23,7,Art,Visual,Entrepreneur,Technology,High,Education,Consistent
3.76,37,History,Auditory,Engineer,Health,Low,Finance,Consistent
3.18,40,Business,Kinesthetic,Entrepreneur,Arts,Medium,Data Science,Consistent
2.64,37,Science,Reading/Writing,Artist,Technology,Medium,Finance,Irregular
1.29,18,Business,Reading/Writing,Engineer,Education,Low,Data Science,Organized
3.0,21,Math,Visual,Scientist,Education,Low,Education,Organized
2.45,23,Science,Reading/Writing,Doctor,Arts,Medium,Medicine,Irregular
1.89,5,Math,Reading/Writing,Doctor,Health,Medium,Data Science,Needs Improvement
3.59,16,Business,Reading/Writing,Artist,Education,High,Medicine,Last-Minute
2.09,33,Math,Auditory,Entrepreneur,Education,Low,Data Science,Needs Improvement
3.35,13,Math,Reading/Writing,Scientist,Technology,Low,Education,Consistent
3.7,39,History,Visual,Entrepreneur,Health,Medium,Finance,Last-Minute
2.48,21,Science,Kinesthetic,Artist,Technology,High,Education,Irregular
3.89,30,Math,Kinesthetic,Entrepreneur,Health,High,Graphic Design,Needs Improvement
1.21,18,History,Kinesthetic,Scientist,Education,High,Finance,Consistent
1.85,34,History,Auditory,Artist,Education,Low,Medicine,Consistent
1.34,33,Math,Kinesthetic,Scientist,Finance,Low,Finance,Consistent
2.29,14,Business,Kinesthetic,Scientist,Technology,Low,Medicine,Last-Minute
1.19,19,History,Kinesthetic,Artist,Health,Low,Data Science,Irregular
1.85,36,Art,Visual,Doctor,Technology,Medium,Data Science,Consistent
2.34,23,Business,Kinesthetic,Engineer,Technology,Medium,Education,Organized
3.86,26,Science,Reading/Writing,Doctor,Health,Low,Data Science,Consistent
2.61,5,Math,Kinesthetic,Scientist,Finance,Medium,Data Science,Irregular
3.32,22,Art,Visual,Artist,Finance,Low,Data Science,Organized
3.05,5,Math,Visual,Engineer,Education,Medium,Education,Irregular
1.48,9,Art,Reading/Writing,Artist,Health,Medium,Medicine,Consistent
2.75,23,History,Reading/Writing,Doctor,Health,High,Graphic Design,Organized
3.26,37,History,Visual,Entrepreneur,Technology,Medium,Medicine,Last-Minute
2.09,35,History,Kinesthetic,Doctor,Technology,Medium,Finance,Organized
1.43,29,History,Reading/Writing,Entrepreneur,Education,High,Finance,Needs Improvement
3.46,15,Science,Visual,Engineer,Arts,High,Finance,Organized
2.19,29,History,Kinesthetic,Engineer,Health,Medium,Data Science,Irregular
1.17,36,Business,Visual,Entrepreneur,Finance,Low,Medicine,Consistent
1.71,32,Science,Auditory,Entrepreneur,Finance,Low,Finance,Needs Improvement
3.58,33,History,Auditory,Engineer,Health,High,Graphic Design,Needs Improvement
1.72,32,Science,Reading/Writing,Engineer,Education,High,Medicine,Consistent
2.51,34,Science,Auditory,Entrepreneur,Education,High,Education,Irregular
1.92,12,Art,Visual,Scientist,Health,Low,Education,Consistent
3.82,32,Business,Auditory,Entrepreneur,Education,Medium,Finance,Consistent
2.58,38,Math,Auditory,Engineer,Finance,Medium,Graphic Design,Organized
3.67,39,Science,Kinesthetic,Scientist,Finance,Low,Medicine,Needs Improvement
3.25,18,Art,Auditory,Doctor,Finance,Medium,Graphic Design,Consistent
1.2,30,Math,Kinesthetic,Doctor,Finance,High,Finance,Last-Minute
1.53,38,Business,Kinesthetic,Entrepreneur,Technology,Medium,Education,Needs Improvement
1.48,28,History,Visual,Entrepreneur,Technology,Low,Finance,Organized
1.33,22,Business,Visual,Artist,Health,High,Data Science,Irregular
1.0,37,History,Kinesthetic,Scientist,Arts,Medium,Data Science,Organized
1.73,40,Business,Visual,Scientist,Education,High,Finance,Last-Minute
2.81,7,Art,Visual,Scientist,Finance,High,Data Science,Organized
2.07,40,Business,Reading/Writing,Artist,Arts,High,Graphic Design,Last-Minute
3.64,34,Business,Reading/Writing,Doctor,Arts,Medium,Data Science,Organized
3.45,38,Business,Kinesthetic,Doctor,Arts,Low,Graphic Design,Organized
2.12,35,Business,Auditory,Scientist,Finance,Medium,Graphic Design,Needs Improvement
3.0,6,Art,Visual,Scientist,Finance,Medium,Finance,Last-Minute
2.89,23,Art,Visual,Entrepreneur,Finance,High,Data Science,Last-Minute
1.39,30,Math,Kinesthetic,Scientist,Health,High,Education,Consistent
2.18,39,Math,Auditory,Artist,Health,Low,Medicine,Last-Minute
2.21,9,Science,Visual,Entrepreneur,Education,Low,Education,Last-Minute
3.94,7,Business,Visual,Artist,Arts,Low,Education,Last-Minute
2.63,19,Math,Visual,Artist,Education,Medium,Data Science,Last-Minute
2.72,25,Art,Kinesthetic,Scientist,Arts,High,Education,Consistent
2.32,28,Art,Reading/Writing,Doctor,Arts,High,Graphic Design,Needs Improvement
3.25,40,Business,Auditory,Doctor,Education,Medium,Finance,Needs Improvement
2.27,19,Art,Reading/Writing,Entrepreneur,Arts,High,Graphic Design,Consistent
3.93,11,Business,Kinesthetic,Artist,Arts,Low,Education,Consistent
1.95,11,Business,Reading/Writing,Engineer,Technology,Medium,Data Science,Organized
3.23,14,Business,Auditory,Engineer,Education,Low,Education,Last-Minute
3.94,20,History,Auditory,Engineer,Education,Medium,Data Science,Last-Minute
3.29,11,Science,Auditory,Artist,Finance,High,Medicine,Organized
3.12,23,Math,Auditory,Artist,Education,High,Medicine,Needs Improvement
3.96,13,Science,Kinesthetic,Doctor,Education,Low,Finance,Last-Minute
3.6,28,Math,Reading/Writing,Artist,Health,Low,Finance,Last-Minute
3.25,17,History,Kinesthetic,Scientist,Education,Medium,Medicine,Irregular
1.96,11,History,Auditory,Doctor,Arts,Low,Finance,Needs Improvement
2.78,6,Business,Kinesthetic,Doctor,Finance,High,Education,Irregular
2.06,37,History,Visual,Entrepreneur,Health,High,Education,Consistent
3.6,22,Art,Reading/Writing,Engineer,Arts,Medium,Graphic Design,Irregular
3.83,36,History,Reading/Writing,Doctor,Technology,High,Medicine,Irregular
1.96,29,History,Kinesthetic,Doctor,Education,High,Graphic Design,Needs Improvement
3.17,34,History,Visual,Engineer,Education,High,Data Science,Needs Improvement
2.35,19,History,Auditory,Scientist,Health,High,Education,Needs Improvement
2.56,10,History,Visual,Engineer,Education,High,Medicine,Consistent
2.0,27,Art,Kinesthetic,Entrepreneur,Arts,Low,Education,Irregular
3.2,32,History,Auditory,Artist,Arts,High,Data Science,Consistent
2.01,38,History,Kinesthetic,Entrepreneur,Arts,Medium,Medicine,Consistent
2.84,12,Art,Reading/Writing,Doctor,Education,High,Data Science,Irregular
1.92,33,Science,Auditory,Scientist,Technology,High,Medicine,Last-Minute
3.21,8,Math,Kinesthetic,Entrepreneur,Finance,Medium,Education,Organized
3.81,40,History,Auditory,Entrepreneur,Arts,Low,Finance,Last-Minute
2.89,12,Art,Reading/Writing,Artist,Education,Low,Finance,Last-Minute
2.77,22,Business,Visual,Scientist,Health,Medium,Graphic Design,Organized
3.7,11,Business,Auditory,Artist,Finance,Low,Finance,Needs Improvement
2.87,24,Business,Visual,Engineer,Health,High,Finance,Irregular
1.48,13,Math,Auditory,Doctor,Finance,High,Finance,Last-Minute
2.49,27,Math,Auditory,Scientist,Health,Low,Finance,Last-Minute
2.89,12,History,Kinesthetic,Scientist,Health,Low,Education,Consistent
2.53,5,History,Auditory,Scientist,Finance,High,Graphic Design,Consistent
2.05,31,Math,Reading/Writing,Artist,Education,Low,Medicine,Needs Improvement
1.37,13,Math,Reading/Writing,Doctor,Technology,Medium,Medicine,Needs Improvement
2.44,28,Art,Kinesthetic,Scientist,Health,Medium,Data Science,Organized
3.23,13,Business,Visual,Artist,Arts,High,Medicine,Last-Minute
2.01,25,Business,Auditory,Scientist,Technology,Medium,Finance,Last-Minute
2.41,6,History,Auditory,Scientist,Arts,Low,Data Science,Needs Improvement
3.67,27,Business,Visual,Doctor,Education,Low,Graphic Design,Organized
3.61,30,Science,Kinesthetic,Entrepreneur,Technology,Low,Graphic Design,Organized
1.78,27,Art,Kinesthetic,Doctor,Technology,Medium,Data Science,Consistent
1.72,13,Business,Auditory,Entrepreneur,Education,Low,Finance,Needs Improvement
3.81,16,Business,Auditory,Artist,Health,Medium,Graphic Design,Last-Minute
3.3,22,Math,Kinesthetic,Entrepreneur,Education,Low,Graphic Design,Irregular
1.95,31,Art,Reading/Writing,Doctor,Health,Low,Finance,Last-Minute
2.55,28,Business,Reading/Writing,Artist,Technology,Low,Finance,Consistent
1.33,22,Science,Auditory,Scientist,Technology,Medium,Medicine,Needs Improvement
3.71,6,Math,Kinesthetic,Artist,Finance,Medium,Data Science,Needs Improvement
2.01,8,Business,Auditory,Scientist,Education,High,Graphic Design,Irregular
2.77,32,Art,Visual,Engineer,Technology,Medium,Graphic Design,Last-Minute
3.44,18,Math,Auditory,Artist,Arts,High,Graphic Design,Organized
3.97,7,Art,Kinesthetic,Doctor,Health,Medium,Graphic Design,Irregular
1.2,37,Art,Reading/Writing,Entrepreneur,Education,Medium,Education,Needs Improvement
1.34,25,History,Kinesthetic,Artist,Finance,Medium,Data Science,Needs Improvement
1.65,30,Science,Kinesthetic,Scientist,Technology,High,Education,Irregular
1.43,21,Science,Kinesthetic,Engineer,Education,Medium,Finance,Needs Improvement
2.19,23,Math,Visual,Doctor,Education,Medium,Graphic Design,Consistent
1.43,38,Business,Auditory,Doctor,Arts,Medium,Medicine,Consistent
3.69,12,Science,Auditory,Engineer,Technology,Low,Medicine,Needs Improvement
1.1,28,Math,Auditory,Artist,Health,High,Graphic Design,Organized
3.91,22,History,Auditory,Engineer,Finance,Low,Graphic Design,Last-Minute
1.65,28,Science,Kinesthetic,Artist,Education,Medium,Graphic Design,Last-Minute
2.25,9,Math,Kinesthetic,Doctor,Finance,High,Medicine,Consistent
2.03,40,Science,Reading/Writing,Entrepreneur,Finance,Low,Data Science,Last-Minute
3.87,32,Math,Auditory,Doctor,Health,High,Medicine,Irregular
3.03,11,Business,Auditory,Entrepreneur,Technology,High,Medicine,Last-Minute
2.72,10,Math,Reading/Writing,Doctor,Technology,High,Medicine,Consistent
1.78,11,History,Auditory,Scientist,Finance,Low,Medicine,Last-Minute
3.26,14,Art,Kinesthetic,Entrepreneur,Education,High,Graphic Design,Irregular
2.6,17,Art,Kinesthetic,Engineer,Arts,High,Medicine,Consistent
3.52,38,Business,Visual,Entrepreneur,Arts,High,Graphic Design,Consistent
3.21,17,History,Visual,Artist,Technology,Low,Graphic Design,Consistent
2.9,40,Business,Visual,Engineer,Arts,Medium,Graphic Design,Consistent
1.72,15,Art,Kinesthetic,Doctor,Technology,Low,Education,Needs Improvement
3.28,22,Science,Kinesthetic,Artist,Education,Low,Finance,Consistent
3.66,19,Science,Visual,Entrepreneur,Education,Medium,Graphic Design,Needs Improvement
3.96,26,Math,Auditory,Doctor,Health,Low,Finance,Consistent
2.36,14,Art,Auditory,Doctor,Education,Medium,Graphic Design,Needs Improvement
2.32,32,Business,Reading/Writing,Scientist,Technology,High,Medicine,Last-Minute
1.76,25,Art,Visual,Artist,Finance,Low,Finance,Needs Improvement
3.66,28,Art,Kinesthetic,Doctor,Technology,High,Finance,Consistent
2.57,21,History,Visual,Entrepreneur,Education,High,Medicine,Consistent
1.81,7,History,Auditory,Engineer,Arts,Medium,Medicine,Needs Improvement
2.45,7,Math,Reading/Writing,Doctor,Finance,High,Education,Last-Minute
3.51,32,Math,Reading/Writing,Engineer,Finance,High,Education,Consistent
2.01,16,Art,Visual,Engineer,Arts,Medium,Education,Needs Improvement
2.01,36,Business,Auditory,Engineer,Arts,Low,Graphic Design,Consistent
1.61,34,Art,Reading/Writing,Engineer,Technology,Low,Graphic Design,Consistent
1.76,8,Math,Reading/Writing,Doctor,Finance,Low,Education,Consistent
2.95,29,Business,Auditory,Doctor,Health,Low,Finance,Consistent
3.86,38,Business,Reading/Writing,Scientist,Technology,Low,Medicine,Consistent
2.65,11,Math,Auditory,Artist,Health,Medium,Finance,Consistent
3.11,24,Business,Visual,Artist,Arts,Medium,Graphic Design,Consistent
3.14,12,Math,Kinesthetic,Artist,Finance,Medium,Medicine,Organized
1.13,10,Art,Visual,Doctor,Technology,Medium,Data Science,Needs Improvement
2.65,21,Science,Reading/Writing,Artist,Health,Low,Finance,Organized
2.54,27,History,Auditory,Doctor,Health,High,Finance,Irregular
1.27,11,Math,Reading/Writing,Entrepreneur,Education,Low,Data Science,Last-Minute
1.77,12,Business,Auditory,Scientist,Arts,High,Data Science,Last-Minute
3.97,37,Math,Kinesthetic,Scientist,Health,Medium,Data Science,Irregular
1.98,13,Science,Auditory,Artist,Finance,Medium,Medicine,Last-Minute
2.2,20,Business,Visual,Entrepreneur,Finance,Medium,Finance,Consistent
3.7,33,Science,Kinesthetic,Doctor,Finance,Medium,Data Science,Last-Minute
1.24,9,Art,Reading/Writing,Doctor,Technology,High,Finance,Irregular
1.59,37,Art,Kinesthetic,Artist,Arts,Low,Education,Needs Improvement
1.08,27,Science,Kinesthetic,Scientist,Technology,Low,Education,Needs Improvement
3.15,6,Business,Reading/Writing,Entrepreneur,Arts,Medium,Education,Irregular
1.16,35,Science,Kinesthetic,Doctor,Technology,Medium,Medicine,Last-Minute
3.12,36,Math,Kinesthetic,Entrepreneur,Education,Low,Education,Consistent
3.93,14,Math,Reading/Writing,Doctor,Finance,High,Finance,Consistent
3.23,20,Science,Kinesthetic,Artist,Technology,High,Graphic Design,Consistent
2.42,9,Art,Reading/Writing,Scientist,Health,High,Medicine,Irregular
1.06,25,Science,Kinesthetic,Engineer,Technology,Low,Graphic Design,Needs Improvement
2.08,8,Business,Kinesthetic,Engineer,Education,Low,Graphic Design,Consistent
3.79,29,Business,Kinesthetic,Entrepreneur,Education,Medium,Graphic Design,Last-Minute
2.93,24,Art,Kinesthetic,Scientist,Technology,High,Finance,Consistent
2.82,23,Science,Visual,Doctor,Arts,Low,Data Science,Organized
1.17,16,Business,Kinesthetic,Scientist,Finance,Low,Education,Organized
1.57,24,History,Reading/Writing,Artist,Finance,High,Medicine,Needs Improvement
1.38,10,Science,Auditory,Doctor,Education,Low,Data Science,Irregular
3.29,40,History,Reading/Writing,Engineer,Finance,Medium,Data Science,Organized
1.48,16,Science,Auditory,Entrepreneur,Arts,Low,Graphic Design,Last-Minute
1.46,31,Business,Reading/Writing,Doctor,Finance,High,Medicine,Consistent
1.52,14,Art,Reading/Writing,Scientist,Health,High,Education,Irregular
3.95,12,Science,Reading/Writing,Artist,Health,High,Education,Consistent
2.92,6,Business,Kinesthetic,Doctor,Technology,High,Finance,Irregular
3.06,11,Science,Visual,Scientist,Arts,High,Medicine,Irregular
2.81,9,Science,Visual,Doctor,Arts,Low,Graphic Design,Organized
3.82,28,Math,Visual,Entrepreneur,Health,High,Data Science,Last-Minute
2.59,13,Science,Visual,Artist,Education,Low,Data Science,Last-Minute
1.95,36,History,Visual,Doctor,Education,High,Graphic Design,Organized
1.14,27,Art,Auditory,Artist,Education,High,Medicine,Organized
3.33,39,Science,Reading/Writing,Entrepreneur,Arts,Low,Graphic Design,Last-Minute
1.6,30,Science,Kinesthetic,Artist,Health,Medium,Data Science,Last-Minute
1.52,37,Art,Visual,Artist,Technology,Low,Education,Needs Improvement
2.22,37,History,Auditory,Doctor,Education,High,Finance,Organized
1.84,26,Art,Auditory,Doctor,Health,Medium,Data Science,Last-Minute
2.67,5,Science,Auditory,Doctor,Education,Low,Medicine,Last-Minute
1.22,14,History,Kinesthetic,Entrepreneur,Education,High,Finance,Organized
3.8,23,Business,Kinesthetic,Entrepreneur,Health,Medium,Medicine,Irregular
1.08,15,Science,Auditory,Scientist,Education,High,Finance,Last-Minute
1.73,38,Art,Auditory,Artist,Finance,Medium,Finance,Last-Minute
3.24,13,History,Reading/Writing,Engineer,Finance,Low,Data Science,Consistent
2.67,40,Business,Visual,Artist,Arts,Medium,Graphic Design,Consistent
2.84,6,Business,Auditory,Doctor,Finance,High,Medicine,Consistent
2.7,10,Art,Auditory,Scientist,Technology,Low,Data Science,Organized
1.91,39,Science,Reading/Writing,Artist,Technology,Low,Data Science,Organized
3.05,38,Science,Visual,Doctor,Technology,High,Data Science,Needs Improvement
2.61,21,Math,Auditory,Doctor,Arts,Low,Finance,Irregular
3.63,22,Art,Visual,Artist,Health,High,Data Science,Last-Minute
2.59,26,Math,Auditory,Artist,Arts,High,Data Science,Needs Improvement
3.63,8,Math,Kinesthetic,Engineer,Technology,Medium,Data Science,Last-Minute
2.22,35,Business,Visual,Scientist,Arts,Medium,Education,Last-Minute
3.79,35,Science,Reading/Writing,Doctor,Arts,High,Data Science,Last-Minute
1.42,9,History,Kinesthetic,Artist,Health,Low,Graphic Design,Consistent
3.64,19,Math,Auditory,Entrepreneur,Technology,Low,Data Science,Irregular
1.48,12,Art,Reading/Writing,Artist,Technology,Low,Medicine,Needs Improvement
1.8,24,Art,Reading/Writing,Doctor,Finance,Medium,Data Science,Irregular
2.92,36,History,Visual,Artist,Education,Medium,Graphic Design,Last-Minute
1.54,17,History,Reading/Writing,Doctor,Finance,Medium,Medicine,Consistent
2.63,35,Business,Reading/Writing,Scientist,Health,Low,Graphic Design,Consistent
1.48,19,Science,Visual,Artist,Health,Low,Medicine,Organized
3.03,36,Science,Visual,Doctor,Education,Low,Data Science,Needs Improvement
3.98,14,Business,Auditory,Entrepreneur,Finance,Low,Data Science,Needs Improvement
1.7,22,Math,Kinesthetic,Doctor,Arts,Medium,Medicine,Needs Improvement
3.36,25,Business,Reading/Writing,Doctor,Health,Low,Education,Last-Minute
2.81,5,Business,Kinesthetic,Artist,Health,Low,Data Science,Consistent
2.99,10,History,Auditory,Engineer,Technology,Low,Education,Organized
2.42,20,Math,Auditory,Engineer,Health,Medium,Education,Consistent
1.0,33,History,Reading/Writing,Doctor,Education,High,Data Science,Last-Minute
2.68,37,Art,Visual,Entrepreneur,Technology,High,Graphic Design,Irregular
1.38,9,Business,Reading/Writing,Artist,Health,High,Education,Last-Minute
1.55,12,Business,Auditory,Doctor,Health,Medium,Finance,Organized
2.84,37,Science,Reading/Writing,Doctor,Education,Medium,Medicine,Consistent
3.34,30,History,Reading/Writing,Doctor,Technology,Low,Graphic Design,Organized
2.49,34,Art,Reading/Writing,Scientist,Finance,High,Finance,Organized
2.87,16,Math,Visual,Artist,Health,Low,Education,Organized
2.78,37,Art,Visual,Doctor,Arts,Medium,Finance,Organized
1.33,5,Art,Reading/Writing,Doctor,Education,Low,Education,Consistent
2.28,8,History,Visual,Scientist,Finance,Low,Graphic Design,Irregular
1.42,25,Art,Auditory,Scientist,Health,Medium,Education,Irregular
2.41,25,Art,Kinesthetic,Doctor,Technology,Medium,Education,Last-Minute
1.09,8,Science,Auditory,Artist,Finance,High,Graphic Design,Consistent
2.68,13,Art,Kinesthetic,Entrepreneur,Finance,High,Graphic Design,Consistent
2.35,17,Math,Reading/Writing,Engineer,Arts,Medium,Graphic Design,Needs Improvement
2.18,30,Art,Auditory,Scientist,Arts,High,Education,Last-Minute
3.54,36,Science,Kinesthetic,Doctor,Arts,Medium,Data Science,Needs Improvement
1.59,11,Business,Reading/Writing,Artist,Education,High,Finance,Last-Minute
2.21,20,Science,Auditory,Doctor,Technology,Low,Education,Needs Improvement
1.37,35,History,Reading/Writing,Entrepreneur,Finance,High,Education,Irregular
3.42,33,Math,Auditory,Entrepreneur,Finance,High,Finance,Needs Improvement
1.22,16,Science,Visual,Entrepreneur,Education,High,Graphic Design,Consistent
2.52,36,History,Auditory,Entrepreneur,Health,Low,Education,Last-Minute
2.84,19,Business,Kinesthetic,Doctor,Health,Low,Graphic Design,Last-Minute
2.49,29,Math,Auditory,Doctor,Arts,Medium,Data Science,Last-Minute
3.44,9,Math,Reading/Writing,Engineer,Technology,High,Graphic Design,Consistent
2.83,36,Science,Auditory,Scientist,Arts,High,Education,Irregular
1.37,23,Business,Visual,Entrepreneur,Technology,Low,Medicine,Consistent
1.38,11,Business,Auditory,Entrepreneur,Education,High,Finance,Needs Improvement
2.29,31,History,Reading/Writing,Entrepreneur,Technology,Low,Finance,Organized
3.21,5,History,Visual,Scientist,Education,Low,Finance,Needs Improvement
3.26,11,Art,Reading/Writing,Entrepreneur,Finance,Low,Data Science,Last-Minute
1.73,14,Math,Reading/Writing,Engineer,Technology,High,Education,Irregular
1.94,23,Science,Reading/Writing,Artist,Arts,Medium,Medicine,Consistent
3.49,29,History,Kinesthetic,Entrepreneur,Education,Low,Finance,Irregular
3.89,23,History,Auditory,Artist,Education,Low,Finance,Last-Minute
3.4,32,Math,Kinesthetic,Engineer,Technology,High,Graphic Design,Needs Improvement
3.28,28,History,Visual,Engineer,Technology,High,Graphic Design,Organized
2.64,27,History,Visual,Doctor,Finance,High,Graphic Design,Last-Minute
3.18,18,Math,Auditory,Doctor,Finance,Low,Education,Irregular
3.26,19,History,Kinesthetic,Scientist,Finance,High,Finance,Irregular
3.1,33,Business,Auditory,Scientist,Finance,Medium,Graphic Design,Consistent
2.92,38,Science,Auditory,Entrepreneur,Technology,Medium,Education,Irregular
3.87,26,Art,Auditory,Scientist,Technology,Low,Data Science,Last-Minute
1.08,5,Art,Visual,Artist,Health,High,Finance,Needs Improvement
2.4,14,Business,Kinesthetic,Artist,Health,Medium,Finance,Last-Minute
2.06,16,Science,Kinesthetic,Doctor,Health,Medium,Finance,Organized
2.35,7,Art,Visual,Artist,Finance,Low,Graphic Design,Organized
1.32,23,Math,Auditory,Artist,Education,High,Data Science,Irregular
2.4,16,Science,Kinesthetic,Scientist,Technology,Medium,Graphic Design,Needs Improvement
3.1,15,Art,Visual,Entrepreneur,Health,Low,Medicine,Organized
2.69,21,Art,Reading/Writing,Artist,Arts,Medium,Medicine,Irregular
3.92,34,History,Reading/Writing,Scientist,Finance,Medium,Education,Organized
3.62,33,Business,Reading/Writing,Doctor,Education,Medium,Education,Consistent
2.4,16,Art,Reading/Writing,Scientist,Finance,Medium,Finance,Irregular
2.35,10,History,Kinesthetic,Engineer,Health,Low,Data Science,Organized
3.08,13,Science,Auditory,Scientist,Finance,High,Education,Needs Improvement
2.91,25,Math,Auditory,Engineer,Education,High,Finance,Irregular
3.54,35,Art,Kinesthetic,Scientist,Arts,High,Data Science,Irregular
3.46,13,Math,Visual,Engineer,Arts,Low,Data Science,Organized
3.2,36,History,Auditory,Doctor,Health,High,Finance,Organized
3.18,19,Math,Reading/Writing,Artist,Education,Low,Finance,Consistent
3.09,30,Science,Visual,Entrepreneur,Health,High,Data Science,Last-Minute
3.9,16,Science,Kinesthetic,Doctor,Education,High,Data Science,Irregular
3.36,8,Science,Reading/Writing,Artist,Technology,High,Education,Irregular
2.42,6,Art,Reading/Writing,Artist,Finance,Medium,Medicine,Organized
2.37,9,Math,Reading/Writing,Entrepreneur,Arts,Low,Data Science,Last-Minute
3.54,25,Art,Visual,Engineer,Health,Low,Education,Last-Minute
3.05,35,Business,Visual,Artist,Technology,High,Graphic Design,Last-Minute
2.77,29,Science,Reading/Writing,Entrepreneur,Technology,Low,Graphic Design,Irregular
3.41,8,History,Kinesthetic,Artist,Health,Low,Medicine,Needs Improvement
1.06,9,Science,Kinesthetic,Doctor,Education,Low,Education,Consistent
2.93,26,Science,Auditory,Entrepreneur,Finance,Low,Graphic Design,Last-Minute
3.95,30,History,Reading/Writing,Artist,Finance,Low,Graphic Design,Needs Improvement
2.95,26,History,Auditory,Engineer,Education,High,Data Science,Last-Minute
2.48,11,Business,Reading/Writing,Doctor,Education,Low,Finance,Irregular
1.73,36,Math,Visual,Doctor,Education,Low,Finance,Last-Minute
1.17,9,Business,Kinesthetic,Engineer,Finance,Medium,Medicine,Consistent
1.18,14,Science,Reading/Writing,Scientist,Education,Low,Finance,Needs Improvement
2.85,33,Math,Kinesthetic,Engineer,Technology,High,Graphic Design,Irregular
4.0,14,History,Kinesthetic,Scientist,Health,High,Education,Needs Improvement
2.51,32,Math,Kinesthetic,Scientist,Technology,Medium,Graphic Design,Consistent
3.38,13,Business,Auditory,Scientist,Health,High,Data Science,Last-Minute
1.15,38,History,Kinesthetic,Doctor,Finance,Low,Graphic Design,Consistent
1.01,36,Science,Reading/Writing,Engineer,Arts,Low,Data Science,Consistent
2.9,13,Science,Kinesthetic,Artist,Health,Low,Graphic Design,Consistent
3.69,19,Art,Auditory,Scientist,Education,Medium,Medicine,Irregular
1.75,19,Business,Reading/Writing,Entrepreneur,Technology,Medium,Data Science,Needs Improvement
3.52,37,History,Reading/Writing,Artist,Arts,High,Medicine,Consistent
1.95,24,Business,Reading/Writing,Artist,Arts,Medium,Graphic Design,Needs Improvement
3.17,9,Math,Reading/Writing,Doctor,Finance,High,Medicine,Irregular
3.41,12,History,Visual,Scientist,Education,High,Data Science,Needs Improvement
3.24,24,History,Auditory,Doctor,Arts,Low,Education,Irregular
2.99,13,Art,Auditory,Artist,Technology,Medium,Medicine,Last-Minute
1.49,12,History,Kinesthetic,Doctor,Finance,Medium,Data Science,Needs Improvement
3.7,16,History,Visual,Doctor,Finance,Low,Finance,Organized
1.55,22,Science,Kinesthetic,Scientist,Arts,Medium,Graphic Design,Needs Improvement
1.25,12,Art,Auditory,Scientist,Technology,Medium,Medicine,Organized
1.01,9,Math,Auditory,Engineer,Arts,High,Medicine,Irregular
2.94,27,Science,Visual,Artist,Arts,Low,Data Science,Organized
1.64,40,Business,Kinesthetic,Artist,Arts,High,Graphic Design,Last-Minute
2.23,6,Art,Reading/Writing,Artist,Arts,High,Graphic Design,Last-Minute
2.0,29,Art,Kinesthetic,Artist,Health,Medium,Graphic Design,Irregular
3.73,7,Art,Kinesthetic,Scientist,Arts,Medium,Medicine,Irregular
2.39,27,Business,Auditory,Artist,Arts,Medium,Graphic Design,Consistent
2.56,22,Science,Visual,Entrepreneur,Finance,Medium,Graphic Design,Irregular
2.42,11,Math,Kinesthetic,Scientist,Education,High,Data Science,Consistent
3.09,38,Business,Visual,Doctor,Finance,High,Finance,Organized
2.44,17,Math,Visual,Doctor,Education,Medium,Data Science,Irregular
1.35,28,Art,Reading/Writing,Engineer,Finance,Medium,Education,Last-Minute
3.16,18,Business,Visual,Scientist,Finance,High,Graphic Design,Irregular
3.98,24,Math,Auditory,Entrepreneur,Technology,Medium,Data Science,Needs Improvement
1.87,24,Math,Visual,Artist,Technology,Medium,Education,Organized
1.67,8,Business,Kinesthetic,Scientist,Arts,Medium,Medicine,Last-Minute
2.56,38,Business,Reading/Writing,Artist,Education,Low,Education,Needs Improvement
1.59,18,Science,Auditory,Artist,Health,High,Finance,Last-Minute
2.47,26,Math,Reading/Writing,Entrepreneur,Arts,High,Education,Irregular
3.62,20,Math,Visual,Scientist,Arts,High,Finance,Irregular
3.6,24,Science,Kinesthetic,Scientist,Technology,High,Medicine,Irregular
2.38,22,History,Visual,Scientist,Health,Medium,Education,Consistent
2.21,36,Art,Visual,Artist,Arts,High,Graphic Design,Organized
1.32,13,History,Visual,Entrepreneur,Health,High,Medicine,Irregular
2.1,25,Math,Auditory,Artist,Technology,Low,Medicine,Last-Minute
2.94,11,Business,Auditory,Doctor,Arts,Low,Finance,Consistent
